us_city,state_name,county_name,us_city_lat,us_city_long,intl_city,country,flag_emoji,city_lat,city_long,continent
Santo Domingo Comunidad,Puerto Rico,Peñuelas,18.0719306,-66.7459161,Santo Domingo,Dominican Republic,🇩🇴,18.4801972,-69.942111,Americas
Quito,Mississippi,Leflore,33.4387321,-90.3011955,Quito,Ecuador,🇪🇨,-0.2201641,-78.5123274,Americas
Quito,Tennessee,Tipton,35.4131397,-89.9345312,Quito,Ecuador,🇪🇨,-0.2201641,-78.5123274,Americas
Cairo,Arkansas,Union,33.2201301,-92.8698841,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Cairo,Alabama,Limestone,34.8706418,-87.1444583,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Roosevelt-Cairo Village,Alabama,Jefferson,33.4462193,-86.9183253,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Alexandria,Alabama,Calhoun,33.7739892,-85.885523,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
Cairo,Florida,Bay,30.3049195,-85.4771455,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Cairo,Georgia,Grady,30.8774132,-84.2012897,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Cairo,Illinois,Alexander,37.0053293,-89.1764608,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Cairo Junction,Illinois,Alexander,37.0408845,-89.19174,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Alexandria,Indiana,Madison,40.2628184,-85.675809,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
Cairo,Indiana,Tippecanoe,40.5408685,-86.9247344,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Cairo,Iowa,Louisa,41.1836391,-91.3273758,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Cairo,Kansas,Pratt,37.6500181,-98.5545275,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Alexandria,Kentucky,Campbell,38.9595078,-84.3879946,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
Cairo,Kentucky,Henderson,37.7080985,-87.6458465,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Alexandria Junction,Louisiana,Rapides,31.2910163,-92.4434701,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
Alexandria,Minnesota,Douglas,45.8852397,-95.3775379,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
Cairo,Mississippi,Prentiss,34.726759,-88.3481018,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Cairo,Mississippi,Pontotoc,34.3778814,-89.0431201,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Cairo,Mississippi,Clay,33.6701185,-88.8975562,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Cairo,Missouri,Randolph,39.5119787,-92.4404603,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
Alexandria,Missouri,Clark,40.3594887,-91.455432,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
Alexandria,Nebraska,Thayer,40.2452794,-97.3892076,Alexandria,Egypt,🇪🇬,31.1991806,29.8951716,Africa
Cairo,Nebraska,Hall,41.0011236,-98.6075718,Cairo,Egypt,🇪🇬,30.0443879,31.2357257,Africa
